	Choanocyte	Archaeocyte	Pinacocyte
Aqu2.1.00260_001	1.224827644	1.216438585	0.8625273
Aqu2.1.00261_001	0.512665103	0.706429087	0.350724222
Aqu2.1.00263_001	1.463179062	0.667700916	1.424569691
Aqu2.1.00266_001	0.959239262	0.689898894	0.624471241
Aqu2.1.00268_001	0.79201638	0.774914549	0.350724222
Aqu2.1.00272_001	1.516023958	0.683899465	0.624471241
Aqu2.1.00277_001	0.668282433	0.741109207	0.350724222
Aqu2.1.00280_001	2.62106848	2.029582662	0.999128899
Aqu2.1.00281_001	0.483111431	0.988974471	1.4206474
Aqu2.1.00288_001	1.185655094	0.537596528	0.350724222
Aqu2.1.00289_001	1.126590445	1.17100825	0.549231574
Aqu2.1.00291_001	1.173456919	0.890611269	0.623743833
Aqu2.1.00294_001	0.841831407	0.578367904	0.698281853
Aqu2.1.00296_001	0.762183132	1.007613398	1.143359436
Aqu2.1.00297_001	0.81737026	0.554768573	0.578145714
Aqu2.1.00300_001	0.350724222	0.688711035	0.6023965
Aqu2.1.00301_001	3.808330835	3.620032778	3.842112156
Aqu2.1.00310_001	0.909214503	1.11652944	0.756193924
Aqu2.1.00312_001	1.29043851	0.4780869	0.549231574
Aqu2.1.00316_001	1.175073108	0.57466921	0.747186773
Aqu2.1.00317_001	0.618025519	0.78374471	0.736438846
Aqu2.1.00318_001	0.350724222	1.480518712	1.568622774
Aqu2.1.00319_001	1.255646055	1.928183081	1.775654697
Aqu2.1.00321_001	0.735324886	0.844323523	0.500326654
Aqu2.1.00323_001	1.298384357	0.653456497	0.712924868
Aqu2.1.00324_001	0.519605619	1.135893812	0.350724222
Aqu2.1.00325_001	0.946736689	0.72489711	0.350724222
Aqu2.1.00327_001	1.834369915	0.880874776	1.007076764
Aqu2.1.00328_001	0.529647179	0.80042312	1.047923286
Aqu2.1.00329_001	3.571736829	3.884651708	3.827994948
Aqu2.1.00330_001	3.146215163	3.364649137	2.361494011
Aqu2.1.00332_001	0.570363681	0.703426021	0.350724222
Aqu2.1.00342_001	1.474436356	0.73776593	0.350724222
Aqu2.1.00343_001	1.297778346	0.474270776	0.350724222
Aqu2.1.00345_001	2.550637001	0.844530564	0.773346265
Aqu2.1.00347_001	1.530915908	0.805288115	0.6023965
Aqu2.1.00348_001	2.79301368	3.336944858	2.264086223
Aqu2.1.00356_001	1.147867504	0.737821099	0.350724222
Aqu2.1.00357_001	1.929814414	0.434379455	0.82242644
Aqu2.1.00358_001	0.809476366	0.636362149	0.857474332
Aqu2.1.00360_001	0.814346168	0.569273035	0.578145714
Aqu2.1.00361_001	2.109265153	0.907586328	0.578145714
Aqu2.1.00362_001	3.355424668	0.350724222	0.500326654
Aqu2.1.00367_001	1.963141989	0.899700609	1.077910955
Aqu2.1.00368_001	1.91997784	1.103236842	1.096396079
Aqu2.1.00372_001	2.790659075	1.681663669	1.916150407
Aqu2.1.00373_001	1.139902674	0.664863619	0.909557569
Aqu2.1.00374_001	1.371947562	0.48645649	0.350724222
Aqu2.1.00376_001	1.335123856	0.499161137	0.636537958
Aqu2.1.00380_001	2.78445503	2.249081928	1.728332011
Aqu2.1.00383_001	0.473352313	1.032479927	1.008359177
Aqu2.1.00385_001	0.473352313	0.696365007	0.998738604
Aqu2.1.00389_001	0.591396237	0.739306968	0.766089793
Aqu2.1.00390_001	0.438699927	0.990296688	0.548679421
Aqu2.1.00392_001	1.018861841	0.434952832	0.692322327
Aqu2.1.00393_001	0.513498082	0.713039937	0.350724222
Aqu2.1.00394_001	0.350724222	1.061423577	1.169637465
Aqu2.1.00395_001	1.108291149	0.583609315	0.350724222
Aqu2.1.00397_001	0.512811734	1.057137748	0.55913746
Aqu2.1.00402_001	0.350724222	0.660897923	0.722830754
Aqu2.1.00406_001	0.512811734	0.845506888	0.800903852
Aqu2.1.00407_001	0.350724222	0.523554184	1.409130944
Aqu2.1.00411_001	1.806182671	1.372837702	2.394030094
Aqu2.1.00417_001	1.569256228	0.83633285	1.078036951
Aqu2.1.00419_001	3.049058908	2.65283277	5.004754912
Aqu2.1.00421_001	0.876349902	1.413049265	2.014241931
Aqu2.1.00423_001	0.633424059	1.293677597	0.350724222
Aqu2.1.00426_001	1.010500044	0.420195313	0.350724222
Aqu2.1.00429_001	0.753480396	0.598150843	0.955600011
Aqu2.1.00431_001	0.473352313	1.166685529	0.350724222
Aqu2.1.00432_001	0.627310472	1.011933827	0.89844088
Aqu2.1.00433_001	1.396281382	1.461628195	0.624471241
Aqu2.1.00434_001	0.886937328	0.600921354	0.851892733
Aqu2.1.00438_001	3.872986416	4.327713749	4.415785346
Aqu2.1.00439_001	1.279462547	0.836591407	0.851892733
Aqu2.1.00441_001	7.661489287	7.521433145	8.256306745
Aqu2.1.00447_001	3.958444336	4.715325156	5.773361957
Aqu2.1.00448_001	0.601473787	0.559870863	1.05054346
Aqu2.1.00449_001	0.832598302	0.733067917	0.350724222
Aqu2.1.00453_001	1.256121552	0.683838949	0.350724222
Aqu2.1.00454_001	1.06658708	1.056701515	0.350724222
Aqu2.1.00455_001	0.600640808	0.625588946	0.712372714
Aqu2.1.00460_001	1.113655632	3.005344234	1.860411968
Aqu2.1.00466_001	0.468709937	0.486614012	1.464691768
Aqu2.1.00467_001	1.256472273	0.756258017	0.350724222
Aqu2.1.00473_001	0.468078445	0.613922281	0.995350011
Aqu2.1.00474_001	0.678041551	0.781144177	0.578145714
Aqu2.1.00476_001	0.532351909	0.735763601	0.350724222
Aqu2.1.00477_001	1.233437031	3.05484801	1.482010942
Aqu2.1.00478_001	3.083819718	2.014072179	2.011290994
Aqu2.1.00479_001	0.698831305	1.252546389	0.350724222
Aqu2.1.00486_001	0.659467305	0.649241949	0.623743833
Aqu2.1.00488_001	1.744853651	2.393937959	1.10381362
Aqu2.1.00489_001	0.593615096	0.91899321	0.692322327
Aqu2.1.00491_001	0.350724222	0.721003787	0.514417516
Aqu2.1.00494_001	2.280089616	1.044354178	1.099566507
Aqu2.1.00495_001	0.738157484	0.636093174	0.350724222
Aqu2.1.00506_001	0.350724222	0.73511086	0.994342704
Aqu2.1.00513_001	0.738157484	0.588671524	0.578145714
Aqu2.1.00514_001	3.876899951	2.771524165	2.704273785
Aqu2.1.00516_001	2.00178376	3.339618758	3.09488514
Aqu2.1.00517_001	2.015121413	1.00890605	1.183728327
Aqu2.1.00518_001	1.414860648	0.907309628	0.698834006
Aqu2.1.00520_001	0.992917854	0.686444757	0.786558952
Aqu2.1.00521_001	2.122238483	1.607572485	2.25053319
Aqu2.1.00523_001	1.679998376	0.990743897	1.30857871
Aqu2.1.00524_001	1.563309999	1.333642975	1.142147252
Aqu2.1.00525_001	2.62655621	1.830613102	1.118394569
Aqu2.1.00526_001	1.590358528	0.350724222	0.350724222
Aqu2.1.00528_001	1.40194358	2.259419415	1.755283454
Aqu2.1.00534_001	0.531440344	0.422242994	1.036618315
Aqu2.1.00535_001	1.146027003	0.511520053	0.965193113
Aqu2.1.00536_001	2.356594882	3.17908055	4.09701513
Aqu2.1.00537_001	3.345269058	0.44827986	0.915120402
Aqu2.1.00538_001	1.935724514	0.942064084	0.624471241
Aqu2.1.00539_001	1.471938014	2.604555342	2.293582061
Aqu2.1.00541_001	3.573494162	3.631722527	3.730329608
Aqu2.1.00542_001	1.015856589	0.535110469	1.339634589
Aqu2.1.00547_001	1.040631479	2.663396819	1.56844227
Aqu2.1.00556_001	2.710796001	1.29454497	1.420677951
Aqu2.1.00559_001	0.593615096	0.609123916	0.624471241
Aqu2.1.00560_001	1.481246114	0.68929276	0.350724222
Aqu2.1.00563_001	0.834149504	0.572773118	0.786558952
Aqu2.1.00566_001	1.908958984	1.818982097	1.543995735
Aqu2.1.00567_001	0.688582532	0.926947452	0.500326654
Aqu2.1.00572_001	0.796726165	1.510377678	0.828039361
Aqu2.1.00576_001	1.593596365	2.500147245	3.011068473
Aqu2.1.00578_001	7.180543869	6.031373128	5.593510487
Aqu2.1.00579_001	0.661652091	0.759994528	0.514417516
Aqu2.1.00580_001	1.7005875	0.835391831	0.548679421
Aqu2.1.00585_001	2.129298551	2.829343071	2.759531589
Aqu2.1.00587_001	0.948877412	0.62162486	0.549231574
Aqu2.1.00588_001	0.572605882	0.685442438	0.844951196
Aqu2.1.00590_001	0.495634014	0.662305525	0.851165325
Aqu2.1.00591_001	4.039986746	1.471846374	1.109182624
Aqu2.1.00594_001	0.873803502	0.53163824	0.82264906
Aqu2.1.00595_001	1.616029032	1.512453474	1.10381362
Aqu2.1.00601_001	0.978151698	0.666161798	0.624471241
Aqu2.1.00602_001	1.629098038	0.676317471	1.048043312
Aqu2.1.00603_001	3.215118405	3.539918555	3.266347957
Aqu2.1.00607_001	3.658313974	1.347866056	1.457591886
Aqu2.1.00609_001	0.935797784	0.644888202	0.864901899
Aqu2.1.00610_001	2.924040449	2.19037168	2.561625804
Aqu2.1.00620_001	0.806095242	1.182507819	1.157157824
Aqu2.1.00622_001	0.350724222	0.900405226	0.721602992
Aqu2.1.00623_001	4.310837359	3.548352569	3.767835468
Aqu2.1.00626_001	1.302431849	0.686956597	0.350724222
Aqu2.1.00630_001	1.741266067	0.914603895	0.720408259
Aqu2.1.00631_001	3.025170269	5.660502649	3.96771663
Aqu2.1.00635_001	3.050973152	0.890900428	1.876175755
Aqu2.1.00636_001	1.622186642	1.80226945	0.851892733
Aqu2.1.00645_001	1.466032849	2.280573519	1.065327391
Aqu2.1.00650_001	2.915527836	0.927479676	0.693967597
Aqu2.1.00655_001	0.573237374	0.502965408	1.499634103
Aqu2.1.00656_001	1.004309094	0.558486792	0.350724222
Aqu2.1.00658_001	2.733574952	1.681364215	1.473595562
Aqu2.1.00661_001	2.415022479	1.280001576	1.078036951
Aqu2.1.00662_001	1.195130172	1.327045184	0.8011737
Aqu2.1.00666_001	5.284176099	3.111700226	3.814812131
Aqu2.1.00669_001	2.208131131	0.875219229	1.642433131
Aqu2.1.00671_001	3.980733187	2.634652931	2.14787328
Aqu2.1.00674_001	1.02507257	0.622024544	0.804891345
Aqu2.1.00676_001	4.696443421	3.354774811	3.46082229
Aqu2.1.00681_001	0.710363301	0.684681393	0.910880066
Aqu2.1.00684_001	1.132742996	0.620426296	0.549231574
Aqu2.1.00686_001	1.989238983	1.52480057	2.082789752
Aqu2.1.00688_001	1.351034208	0.422740605	0.549231574
Aqu2.1.00694_001	0.690547435	0.76654634	0.963860338
