	Cleavage	Brown	Mid	Late/Larvae	Metam	Adult
Aqu2.1.15180_001	58.67353276	57.73741822	15.83930861	12.99059238	15.10031042	24.97674183
Aqu2.1.15181_001	111.2201539	44.77698214	41.80224761	332.0057732	138.957643	136.0268051
Aqu2.1.15182_001	15.20949675	21.50647045	2.873081757	3.191559964	10.11873574	22.71073082
Aqu2.1.15183_001	3.771761887	19.53685673	32.0676552	15.89436499	11.90471296	12.55254183
Aqu2.1.15184_001	6.290313228	3.52948937	6.231899125	5.356474359	9.443038311	9.492136835
Aqu2.1.15185_001	1.431469659	2.331936803	2.144626717	2.900026963	5.351764752	7.88581737
Aqu2.1.15186_001	0.054489585	1.08526728	0.269943047	0.809080983	0.316670332	0.473332595
Aqu2.1.15187_001	0.602104596	0	0.249679173	0.156805694	0.138004812	0.198471767
Aqu2.1.15188_001	2.206875424	5.050196153	4.673539261	3.177477491	3.037623252	2.329365976
Aqu2.1.15191_001	0.696132058	0.939504988	0.572960812	0.333802491	1.087713958	0.55726567
Aqu2.1.15192_001	0.279274257	0.51908867	0.11773208	0.266035523	0.569995093	0.099235884
Aqu2.1.15193_001	0	0	0	0.276932577	0.11606039	0
Aqu2.1.15194_001	3.743442067	0	0	0	0.058404682	0
Aqu2.1.15195_001	0.054489585	0	0.028816973	0.026201056	0.091408858	0
Aqu2.1.15196_001	2.20015441	0.310993286	0.430619512	0.91275402	0.358993453	0.532277449
Aqu2.1.15197_001	2.457278303	1.984062685	4.241172084	2.229249693	1.407877496	1.350175398
Aqu2.1.15198_001	6.371209879	3.321434971	1.262735031	1.875380104	0.918312815	0.061004051
Aqu2.1.15199_001	2.408418386	0.202525411	0.09389541	0.128320189	0.184831722	0
Aqu2.1.15200_001	0.50970226	0	0.019935034	0	0.17724399	0.616350271
Aqu2.1.15202_001	112.3323211	32.21793956	33.79806879	70.12209407	76.87403103	20.09902895
Aqu2.1.15203_001	0.763947261	0.956032978	0.272939008	0.70354308	0.73713757	0.427802721
Aqu2.1.15204_001	2.453569995	0.083318294	0.795977162	1.881787397	1.917532197	1.122297728
Aqu2.1.15205_001	0.387666768	0.264196174	0	0.019241545	0.08316733	0.058541648
Aqu2.1.15207_001	0	0	0	0	0.091147127	0
Aqu2.1.15208_001	0	0	0	0	0.090353186	0
Aqu2.1.15209_001	0.849109433	0	0	0	0	0
Aqu2.1.15212_001	0.470506755	0	0.104367999	0.196313677	0.210266187	0
Aqu2.1.15213_001	0	0	0.052626421	0.050679942	0.106211318	0
Aqu2.1.15214_001	0.085147544	0.172169405	0.086450919	0.276501947	0.097655466	0.611589239
Aqu2.1.15215_001	7.435285794	8.250920614	1.589398254	2.250638839	5.399677414	2.130536443
Aqu2.1.15216_001	0	0.124958863	0	0.046485127	0.163932564	0
Aqu2.1.15217_001	0.21795834	0.077748322	0.072683593	0.038294078	0.094068383	0.297789851
Aqu2.1.15218_001	1.448006291	0.942891466	0.316476873	0.780761823	5.755202051	13.78928988
Aqu2.1.15219_001	0	0.077748322	0.04247252	0	0.039267122	0.172610906
Aqu2.1.15221_001	257.2251694	157.0234746	124.8562043	222.8211035	317.6752468	232.0934808
Aqu2.1.15222_001	0	2.076246803	2.699702923	0.486327115	1.268650178	1.612703726
Aqu2.1.15223_001	31.47860176	85.06405172	48.31868337	59.04131663	84.16543145	94.61791437
Aqu2.1.15224_001	31.91027112	44.32620216	13.71389504	15.4080354	21.50285352	22.80127961
Aqu2.1.15225_001	2.115847497	1.130580382	0.553721354	0.943088177	0.932207674	1.149897685
Aqu2.1.15226_001	2.331253992	0.633502946	0.296386865	0.270999844	0.540443241	1.513534193
